rank,strategy_id,tier,instrument,timeframe,total_trades,qualified,composite_score,net_profit,sharpe_ratio,profit_factor,max_drawdown_pct,win_rate,status
195,factory_trad_macd_cross_v1,traditional_gen1,USDCAD,H4,119,1,0.2376,-1119.42,-1.572,0.774,11.63,0.353,ok
196,factory_hyb_ema_rsi_pullback_v1,hybrid_gen1,USDJPY,H1,4,0,0.2375,-32.95,-7.866,0.278,0.46,0.25,ok
197,factory_hyb_psar_macd_v1,hybrid_gen1,GBPUSD,H4,87,1,0.2373,-681.37,-0.882,0.871,18.31,0.322,ok
198,factory_trad_bb_meanrev_v1,traditional_gen1,USDCHF,H4,147,1,0.2373,-103.2,-0.012,0.988,16.15,0.456,ok
199,factory_hyb_ema_macd_v1,hybrid_gen1,USDCAD,H1,212,1,0.2365,-827.58,-0.464,0.922,11.69,0.307,ok
200,factory_trad_ema_crossover_v1,traditional_gen1,USDCAD,H1,212,1,0.2365,-827.58,-0.464,0.922,11.69,0.307,ok
201,factory_trad_pivot_bounce_v1,traditional_gen1,AUDUSD,H4,1095,1,0.2356,-655.06,-0.134,0.971,15.87,0.447,ok
202,factory_trad_rsi_meanrev_v1,traditional_gen1,EURUSD,H4,90,1,0.2352,-155.9,-0.14,0.971,10.76,0.4,ok
203,factory_trad_roc_momentum_v1,traditional_gen1,USDJPY,H4,22,0,0.235,-40.2,-0.939,0.866,1.98,0.318,ok
204,factory_trad_bb_meanrev_v1,traditional_gen1,GBPUSD,H4,145,1,0.2349,-60.76,0.032,0.993,14.94,0.441,ok
205,factory_hyb_sma_adx_v1,hybrid_gen1,EURUSD,H1,165,1,0.2346,-178.56,-0.039,0.981,11.08,0.37,ok
206,factory_hyb_sma_adx_v1,hybrid_gen1,AUDUSD,H4,37,0,0.2345,-642.44,-2.231,0.729,7.55,0.324,ok
207,factory_hyb_macd_rsi_v1,hybrid_gen1,NZDUSD,H4,108,1,0.2342,0.07,0.091,1.0,12.76,0.324,ok
208,factory_trad_rsi_meanrev_v1,traditional_gen1,USDCAD,H1,160,1,0.2341,-755.64,-0.576,0.924,21.84,0.406,ok
209,factory_trad_sma_crossover_v1,traditional_gen1,NZDUSD,H4,115,1,0.234,-478.41,-0.463,0.92,11.28,0.339,ok
210,factory_trad_macd_cross_v1,traditional_gen1,AUDUSD,H4,243,1,0.2334,-2159.38,-1.483,0.791,25.86,0.296,ok
211,factory_hyb_bb_rsi_v1,hybrid_gen1,EURUSD,H4,106,1,0.2333,-66.23,0.01,0.99,14.25,0.406,ok
212,factory_trad_atr_trail_v1,traditional_gen1,NZDUSD,H4,278,1,0.233,-1364.43,-0.793,0.856,23.58,0.23,ok
213,factory_trad_macd_cross_v1,traditional_gen1,USDCHF,H4,242,1,0.2322,-1812.87,-1.251,0.82,25.79,0.331,ok
214,factory_trad_ema_trend_v1,traditional_gen1,NZDUSD,H4,282,1,0.2321,-1380.23,-0.79,0.859,23.89,0.234,ok
215,factory_trad_donchian_breakout_v1,traditional_gen1,AUDUSD,H4,130,1,0.2313,-1784.47,-1.842,0.763,24.62,0.292,ok
216,factory_trad_pivot_bounce_v1,traditional_gen1,GBPUSD,H1,4219,1,0.2312,-7532.36,-0.882,0.858,76.6,0.377,ok
217,factory_trad_sr_bounce_v1,traditional_gen1,AUDUSD,H1,542,1,0.2311,908.18,0.312,1.028,24.02,0.443,ok
218,factory_hyb_keltner_adx_v1,hybrid_gen1,NZDUSD,H4,76,0,0.2308,-357.84,-0.496,0.918,12.19,0.368,ok
219,factory_hyb_bb_rsi_v1,hybrid_gen1,USDCHF,H1,394,1,0.2303,473.03,0.253,1.02,19.28,0.434,ok
220,factory_hyb_psar_macd_v1,hybrid_gen1,USDCAD,H4,35,0,0.2298,-961.25,-3.676,0.591,10.46,0.257,ok
221,factory_trad_price_vs_ma_v1,traditional_gen1,EURUSD,H4,480,1,0.2298,-1922.74,-0.773,0.86,25.34,0.246,ok
222,factory_hyb_stoch_trend_v1,hybrid_gen1,NZDUSD,H1,267,1,0.2293,242.27,0.214,1.017,16.84,0.427,ok
